title,percentage,cash,time
#LavaJatoLadoB: A influência dos EUA na operação,42%,R$ 21.140,Iniciado há<br />8 dias
Tetralogia Angélica - Edição de Colecionador,112%,R$ 282.277,39 dias
Revista Banda,48%,R$ 3.891,37 dias
B.akka - Biblioteca de Arquétipos,104%,R$ 81.180,15 dias
Mulheres vs. Monstros,103%,R$ 16.508,10 dias
Tulipa & Donato,28%,R$ 8.525,39 dias
Simultâneo,66%,R$ 4.345,52 dias
Livro Batatinha Fantasma,57%,R$ 14.985,45 dias
O mundo de Yang - Rumo ao Sul,107%,R$ 13.401,22 dias
Cabra D'Água e Opticus,81%,R$ 8.132,7 dias
Ô Mainha!,46%,R$ 6.915,40 dias
Os Cavaleiros das Trevas,206%,R$ 7.210,71 dias
Amigo Dragão,125%,R$ 7.505,45 dias
Nocautes no primeiro round,34%,R$ 12.020,13 dias
Coisas que Aprendi com um Bebê,56%,R$ 3.399,44 dias
EUROZINE,82%,R$ 37.070,12 dias
Ayvilla - Livro ilustrado,19%,R$ 1.975,48 dias
Sagrada Profana nas Gringas,6%,R$ 1.800,42 dias
Devaneios 2,111%,R$ 18.931,36 dias
Tabela Periódica Ilustrada,17%,R$ 1.240,39 dias
Os Guardiões do Mel,4%,R$ 935,43 dias
Os Livros Essenciais da Cabalá,293%,R$ 73.438,21 dias
O Jardim de Tetê ,62%,R$ 39.277,10 dias
Tiger on a gold leash,40%,R$ 12.950,44 dias
Toda forma de amor,117%,R$ 8.245,3 dias
Quando Descobri Que Era Menina,56%,R$ 6.738,12 dias
OSÉIAS (2019) #1,58%,R$ 4.100,31 dias
RPG Alvorada,60%,R$ 3.315,7 dias
A balada de Sylvan,91%,R$ 29.142,14 dias
1º Disco! - Mariana Volker,56%,R$ 19.911,12 dias
CD NÃO SE CALA - grupo Três Marias,47%,R$ 18.930,26 dias
Autocuidado e 38 dias: dois livros de uma vez só!,24%,R$ 6.145,45 dias
Creepypastas: lendas da internet,83%,R$ 5.010,45 dias
CannabiComix apresenta: MACONHA SEM TABUS,36%,R$ 2.377,53 dias
Cartas de Monstros,148%,R$ 35.080,17 dias
★ STRGRL - EPØ2 ★,67%,R$ 9.828,8 dias
[+18] Gibi de Menininha 2,34%,R$ 8.705,28 dias
Histórias para não Dormir,96%,R$ 4.320,30 dias
Bendita Cura - Volume 2,42%,R$ 3.406,28 dias
HQ de Briga,140%,R$ 20.383,26 dias
FILHOTE DE MANDRIÃO,73%,R$ 11.038,22 dias
Nem Vem Que Não Tem - Edição Especial de 10 Anos,9%,R$ 8.678,39 dias
Livro Infantil - "Herança"	 por Brenda Bossato,57%,R$ 8.575,8 dias
Colméia de Sangue ,84%,R$ 6.359,20 dias
48 HORAS [issue 1],109%,R$ 29.340,6 dias
Livro Rogério Daflon,135%,R$ 16.200,10 dias
A Seita,32%,R$ 9.705,33 dias
Imperia,54%,R$ 4.210,36 dias
Dungeon Tiles Macaco Dumal ,166%,R$ 4.150,25 dias
e-Livro do projeto Viva SP,45%,R$ 2.360,55 dias
CRIS COM C DE CHATA,36%,R$ 1.825,39 dias
Sumud	 o filme - Vozes da terra palestina,73%,R$ 35.251,Iniciado há<br />96 dias
Purgatório,59%,R$ 11.825,43 dias
101 maneiras de dormir,114%,R$ 11.496,28 dias
O MUNDO DAS LETRAS E DOS SONS (livro infantil),71%,R$ 10.920,9 dias
Vela,62%,R$ 7.545,18 dias
LIVRO "A LUZ DA JANELA",66%,R$ 7.540,27 dias
HONK! BH,44%,R$ 3.580,Iniciado há<br />12 dias
Atitudes mentirosas... Sentimentos verdadeiros ,37%,R$ 3.330,11 dias
Até que o Mar nos Separe,45%,R$ 2.935,7 dias
