title,percentage,project_url,cash,time
TREZE,123%,/trezequadrinho?ref=ctrse_explore_featured_big,R$ 8.623,Restantes
O Mundo em Preto e Branco,34%,/mundopretoebranco?ref=ctrse_explore_featured_medium,R$ 4.575,Restantes
O Pior Namorado do Mundo,241%,/piornamorado?ref=ctrse_explore_featured_medium,R$ 38.105,Restantes
Sheiloca!!!,14%,/sheiloca?ref=ctrse_explore_featured,R$ 2.395,Restantes
Savage Worlds Edição Aventura,51094%,/SWADEBR?ref=ctrse_explore_featured,R$ 51.094,Restantes
Ayvilla - Livro ilustrado,130%,/ayvilla?ref=ctrse_explore_featured,R$ 13.095,Restantes
Sobre o Antigo Mundo,70%,/antigo_mundo?ref=ctrse_explore_featured,R$ 8.158,Restantes
Pelúcia do Cão,90%,/peluciadocao?ref=ctrse_explore_featured,R$ 81.138,Restantes
Os Poucos & Amaldiçoados - Parte 6 de 6 - Finale!,232%,/aRuiva6?ref=ctrse_explore_featured,R$ 20.937,Restantes
Um jardim selvagem para o Rei Merikanês,116%,/mrkn?ref=ctrse_explore_featured,R$ 15.091,Restantes
Corenstein - Volume 2,80%,/corenstein02?ref=ctrse_explore_featured,R$ 11.310,Restantes
Sobre-posições,193%,/sobre_posicoes?ref=ctrse_explore_featured,R$ 56.069,Restante
Gatisserie,142%,/gatisserie?ref=ctrse_explore_featured,R$ 14.200,Restantes
Diário de Viagem da Dra. Invisibilis,114%,/diariodeviagem?ref=ctrse_explore_featured,R$ 11.465,Restantes
Four Against Darkness - Edição Brasileira,15%,/4ad?ref=ctrse_explore_featured,R$ 1.110,Restantes
Corruption - Parte 2 (Exclusivo Catarse),52%,/corruption2?ref=ctrse_explore_featured,R$ 3.502,Restantes
HOFERWEG,41%,/hoferweg?ref=ctrse_explore_featured,R$ 20.962,Restantes
Simultâneo,144%,/simultaneo?ref=ctrse_explore_featured,R$ 9.395,Restantes
Blackout Vol.2 - Pré-Venda,176%,/blackout2?ref=ctrse_explore_featured,R$ 10.605,Restantes
Grande Almanaque dos Super-heróis Brasileiros,183%,/superheroisbrasileiros?ref=ctrse_explore_featured,R$ 45.765,Restantes
Eruvë 02,64%,/eruve2?ref=ctrse_explore_featured,R$ 7.135,Restantes
Maternidade colorida na cozinha,31%,/maternidadecolorida?ref=ctrse_explore_featured,R$ 6.181,Restantes
Querido Bebê: um romance,54%,/queridobebe?ref=ctrse_explore_featured,R$ 10.790,Restantes
Construindo um ateliê em São Paulo!,217%,/construindo_um_atelie_em_sao_paulo_4b3d?ref=ctrse_explore_featured,R$ 32.661,Restantes
Mejkangati,68%,/melindigena?ref=ctrse_explore_featured,R$ 10.350,Restante
O Elísio - Pré-venda,27%,/o_elisio_pre_venda_6f16?ref=ctrse_explore_featured,R$ 1.360,Restantes
Noite Macabra: Curta - Metragem,44%,/noitemacabrafilme?ref=ctrse_explore_featured,R$ 7.175,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />21 dias</div>
HISTÓRIAS PASSAGEIRAS,68%,/historiaspassageiras?ref=ctrse_explore_featured,R$ 4.445,Restantes
Kaiju Parade,26%,/kaiju?ref=ctrse_explore_featured,R$ 3.900,Restantes
Perfect Slime,12%,/slime?ref=ctrse_explore_featured,R$ 3.685,Restantes
Documentário O Afeto e a Rua,35%,/oafetoearua?ref=ctrse_explore_featured,R$ 10.700,Restantes
Longe de casa,44%,/longedecasa?ref=ctrse_explore_featured,R$ 8.626,Restantes
Engraçada	 mas nem tanto vol 2,56%,/tscarmo2?ref=ctrse_explore_featured,R$ 2.805,Restantes
Coleção DAS COISAS vol. 2,41%,/colecaodascoisasvol2?ref=ctrse_explore_featured,R$ 12.395,Restantes
17 MUMIA - Mostra Udigrudi Mundial de Animação,84%,/17_mumia_mostra_udigrudi_mundial_de_animacao_fcb4?ref=ctrse_explore_featured,R$ 6.710,Restantes
NICO PARTE III,51%,/NICO3?ref=ctrse_explore_featured,R$ 3.827,Restantes
Curta Metragem Ela Luta ,109%,/curta_metragem_ela_luta?ref=ctrse_explore_featured,R$ 10.970,Restantes
O Andar de Cima - Curta-metragem,71%,/o_andar_de_cima_168c?ref=ctrse_explore_featured,R$ 10.710,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />26 dias</div>
Vikings - Morte ao Troll,101%,/vikings?ref=ctrse_explore_featured,R$ 6.100,Restantes
Abobrinhas Mutantes Zumbis,64%,/abobrinhas?ref=ctrse_explore_featured,R$ 4.480,Restantes
#LavaJatoLadoB: A influência dos EUA na operação,122%,/LavaJatoLadoB?ref=ctrse_explore_featured,R$ 61.213,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />55 dias</div>
Brad Barron Vol. 1,79%,/brad_barron1?ref=ctrse_explore_featured,R$ 13.526,Restantes
Pipo,118%,/Pipo?ref=ctrse_explore_featured,R$ 11.245,Restantes
EU SOU LUME,37%,/eusoulume?ref=ctrse_explore_featured,R$ 8.335,Restantes
Vestidas de Vento,39%,/vestidas_de_vento_60d1?ref=ctrse_explore_featured,R$ 5.875,Restantes
RED - 6a Temporada,26%,/reds6?ref=ctrse_explore_featured,R$ 5.848,Restantes
Contos de Griô,72%,/grio?ref=ctrse_explore_featured,R$ 3.276,Restantes
você precisa dar um jeito na sua vida,33%,/voceprecisadarumjeitonasuavida?ref=ctrse_explore_featured,R$ 2.335,Restantes
Como Fazer Amigos e Enfrentar Fantasmas,37%,/comofazeramigos?ref=ctrse_explore_featured,R$ 7.470,Restantes
CannabiComix apresenta: MACONHA SEM TABUS,92%,/maconhasemtabus?ref=ctrse_explore_featured,R$ 6.038,Restantes
Caminhos,42%,/livro_caminhos?ref=ctrse_explore_featured,R$ 2.145,Restantes
Brisa Errada,22%,/brisa_errada?ref=ctrse_explore_featured,R$ 2.052,Restantes
Sumud	 o filme - Vozes da terra palestina,84%,/sumud?ref=ctrse_explore_featured,R$ 40.485,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />144 dias</div>
The Few and Cursed - Jogo de Tabuleiro,143%,/jogo_da_ruiva?ref=ctrse_explore_featured,R$ 35.900,Restantes
Ajude o Encanto do Pina a reformar sua sede,17%,/encanto?ref=ctrse_explore_featured,R$ 11.045,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />15 dias</div>
A garota dos meus sonhos,56%,/agarota?ref=ctrse_explore_featured,R$ 9.345,Restantes
Marighella #LIVRE,257%,/marighella?ref=ctrse_explore_featured,R$ 5.155,Restantes
Higor Pesadelos,29%,/higorpesadelos?ref=ctrse_explore_featured,R$ 4.420,Restantes
NAS VEIAS DE CAUÃ,36%,/nas_veias_de_caua_7ab7?ref=ctrse_explore_featured,R$ 2.200,Restantes
Hayu Marca,120%,/hayumarca?ref=ctrse_explore_featured,R$ 9.015,Restantes
A Relíquia,117%,/reliquia?ref=ctrse_explore_featured,R$ 7.500,Restantes
ESTÃO A REBENTAR AS ÁGUAS,28%,/rebentarasaguas?ref=ctrse_explore_featured,R$ 4.880,Restantes
Ajude o Sul21 a cobrir as eleições na Argentina ,89%,/sul21_nas_eleicoes_da_argentina?ref=ctrse_explore_featured,R$ 3.583,Restantes
A Princesa Passarinho,24%,/respeitem_a_princesa?ref=ctrse_explore_featured,R$ 2.053,Restantes
GOL DELAS,30%,/goldelass?ref=ctrse_explore_featured,R$ 1.540,Restantes
Tiraz,9%,/_tiraz?ref=ctrse_explore_featured,R$ 1.445,Restantes
Rataiada,9%,/rataiada?ref=ctrse_explore_featured,R$ 1.178,Restantes
PyLadies Sul de Minas Gerais no PyLadies BR Conf,47%,/pyladiessuldeminas?ref=ctrse_explore_featured,R$ 565,Restantes
Quaisqualigundum,66%,/quaisqualigundum_4f07?ref=ctrse_explore_featured,R$ 10.005,Restantes
Savants Sounds - Parte 1 de 4,85%,/ss1?ref=ctrse_explore_featured,R$ 5.567,Restantes
Orixás - Ikú,42%,/orixas_iku?ref=ctrse_explore_featured,R$ 3.814,Restantes
Receituário: Amanteigados,42%,/amanteigados?ref=ctrse_explore_featured,R$ 1.470,Restantes
Os Cavaleiros das Trevas,367%,/ctrevas?ref=ctrse_explore_featured,R$ 12.852,Restantes
e-Livro do projeto Viva SP,128%,/vivasaopaulo?ref=ctrse_explore_featured,R$ 6.630,Restantes
O Chamado de Cthulhu,129%,/lovecraft2019?ref=ctrse_explore_featured,R$ 5.848,Restantes
Salada de Frutas,22%,/saladadefrutas?ref=ctrse_explore_featured,R$ 2.165,Restantes
A linha do trem,95%,/alinhadotrem?ref=ctrse_explore_featured,R$ 1.438,Restantes
CADÁVER - Montagem teatral,76%,/cadaver_montagem_teatral_ad82?ref=ctrse_explore_featured,R$ 1.150,Restantes
O Sapo - Curta-metragem,66%,/o_sapo_curta_metragem_70db?ref=ctrse_explore_featured,R$ 1.035,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />14 dias</div>
De Volta ao Porto do Boi,38%,/portodoboi?ref=ctrse_explore_featured,R$ 13.954,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />238 dias</div>
Canal Bob Fernandes,59%,/bobfernandes?ref=ctrse_explore_featured,R$ 11.815,<img src="https://s3.amazonaws.com/cdn.catarse/assets/assinatura-label.png" class="product-label" />
Kor-e,11%,/kore?ref=ctrse_explore_featured,R$ 7.730,Restantes
Miniaturas Monstros Épicos - Hero Maker,117%,/miniaturas_monstros_epicos?ref=ctrse_explore_featured,R$ 5.862,Restantes
Audição - O Filme,25%,/audicao_o_filme_4c3b?ref=ctrse_explore_featured,R$ 5.185,Restantes
Camada9 em Cena | Produção de Espetáculo de Dança,49%,/camada9_espetaculodedanca?ref=ctrse_explore_featured,R$ 4.960,Restantes
Curso profissionalizante para Cosplay - Kmaker,38%,/cursocosplay?ref=ctrse_explore_featured,R$ 4.660,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />86 dias</div>
Comunidade de Fala,53%,/comunidade_de_fala_d75a?ref=ctrse_explore_featured,R$ 3.750,Restantes
A Caixa da Porta Amarela,52%,/acaixadaportaamarela?ref=ctrse_explore_featured,R$ 3.658,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />103 dias</div>
5ème CONFÉRENCE INTERNATIONALE [SSEX BBOX] PARIS,6%,/ssexbbox?ref=ctrse_explore_featured,R$ 3.430,Restantes
FALA	 MARIA,46%,/falamaria?ref=ctrse_explore_featured,R$ 2.785,Restantes
Obscura,21%,/obscura?ref=ctrse_explore_featured,R$ 2.780,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />30 dias</div>
Eva Bot,52%,/evabot?ref=ctrse_explore_featured,R$ 2.600,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />227 dias</div>
Bárbaros da Lemúria,15%,/lemuria?ref=ctrse_explore_featured,R$ 2.453,Restantes
QUAD Artbook - Eduardo Schaal,27%,/quadbook?ref=ctrse_explore_featured,R$ 2.189,Restantes
Não é Simples Assim,52%,/nao_e_simples_assim?ref=ctrse_explore_featured,R$ 2.100,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />35 dias</div>
Leve um artista brasileiro para Bruxelas,18%,/daviembruxelas?ref=ctrse_explore_featured,R$ 1.825,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />29 dias</div>
Urânia no Observatório do Valongo,64%,/mosaico_de_urania_no_observatorio_do_valongo_7d3c?ref=ctrse_explore_featured,R$ 1.815,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />31 dias</div>
O Lado Vermelho das Joaninhas,59%,/LadoVermelho?ref=ctrse_explore_featured,R$ 1.771,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />212 dias</div>
Contos Daquela Terra - Volume 1,22%,/contos_daquela_terra_volume_1_e072?ref=ctrse_explore_featured,R$ 1.675,Restantes
Inconsciente Liberdade: Documentário e Exposição,47%,/inconsciente_liberdade_documentario_e_exposicao_0ca0?ref=ctrse_explore_featured,R$ 1.670,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />41 dias</div>
Alma Preta,21%,/financie_alma_preta?ref=ctrse_explore_featured,R$ 1.050,<img src="https://s3.amazonaws.com/cdn.catarse/assets/assinatura-label.png" class="product-label" />
A Luz do Corredor – Curta,15%,/aluzdocorredor?ref=ctrse_explore_featured,R$ 940,Restantes
Janaína,104%,/janaina_?ref=ctrse_explore_featured,R$ 835,Restantes
ÌYÁLÓDE,16%,/iyalode?ref=ctrse_explore_featured,R$ 815,Restantes
Venéreas - O Filme,7%,/venereas?ref=ctrse_explore_featured,R$ 750,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />36 dias</div>
Projeto Corpo e Identidade,10%,/corpoeidentidade?ref=ctrse_explore_featured,R$ 720,Restantes
Mesa Digitalizadora,54%,/mesa_digitalizadora_0cbb?ref=ctrse_explore_featured,R$ 655,Restantes
Um olhar sobre a educação da escola Mbyá Arandú,10%,/um_olhar_sobre_a_educacao_da_escola_mbya_arandu_c3cb?ref=ctrse_explore_featured,R$ 625,Restantes
Curta-Metragem ''Queda'',16%,/curta_metragem_queda?ref=ctrse_explore_featured,R$ 600,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />24 dias</div>
Musical Yellow Sunshine - O Despertar,19%,/yellowsunshine?ref=ctrse_explore_featured,R$ 590,Restantes
Curta metragem NEON - Projeto Universitário,10%,/curta_metragem_neon_projeto_universitario_fe62?ref=ctrse_explore_featured,R$ 370,Restantes
aXmaniac,6%,/axmaniac?ref=ctrse_explore_featured,R$ 125,Restantes
Ônibus Elétrico Alimentado por Energia Solar,15%,/onibuseletrico-ufsc-2019?ref=ctrse_explore_featured,R$ 20.634,Restantes
Alejandro Ahmed - Condução Óssea,70%,/alejandro_ahmed_conducao_ossea_d520?ref=ctrse_explore_featured,R$ 31.791,Restantes
Ajude um aluno da periferia a ir para HARVARD!,20%,/ajude_um_aluno_da_periferia_a_ir_para_harvard_a4c0?ref=ctrse_explore_featured,R$ 13.085,Restantes
VKHUTEMAS,10%,/vkhutemas?ref=ctrse_explore_featured,R$ 2.870,Restantes
Fisio para 60 pessoas por 1 ano,28%,/fisioparaquemprecisa?ref=ctrse_explore_featured,R$ 7.840,Restantes
DEIXA RAIAR,101%,/deixa_raiar_b78a?ref=ctrse_explore_featured,R$ 20.321,Restantes
Jack The Joker - The Devil To Pay In The Backlands,19%,/jackthejoker?ref=ctrse_explore_featured,R$ 9.621,Restantes
Diário do Bolso 2,120%,/diario_do_bolso_2_a5ef?ref=ctrse_explore_featured,R$ 4.233,Restantes
Crowdtrippin: Sea At Night em Vinil	 CD e Session,20%,/gluetrip?ref=ctrse_explore_featured,R$ 11.690,Restantes
Grand Prix METANOIA,54%,/GPmetanoia?ref=ctrse_explore_featured,R$ 6.184,Restantes
MG - Construção 1912 - Aline,22%,/mg_construcao_1912_aline_e93f?ref=ctrse_explore_featured,R$ 1.760,Restantes
Livro: O Rei das Docas,36%,/oreidasdocas?ref=ctrse_explore_featured,R$ 9.585,Restantes
Green Thinking em Portugal,3%,/green_thinking_no_we_are_one_cascais?ref=ctrse_explore_featured,R$ 462,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />2 dias</div>
gravação da música "Jonas"	 de Léo Brum,20%,/gravacao_da_musica_jonas_de_leo_brum_bfe9?ref=ctrse_explore_featured,R$ 402,Restantes
NÃO ME ABANDONE,43%,/naomeabandone?ref=ctrse_explore_featured,R$ 8.121,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />9 dias</div>
Guto Ginjo - Disco solo,28%,/discogutoginjo?ref=ctrse_explore_featured,R$ 4.906,Restantes
A Máscara da Peste - As Crônicas do Apocalipse,14%,/mascaradapeste?ref=ctrse_explore_featured,R$ 1.382,Restantes
Existe Outro Caminho [parte 1] (CCXP19),16%,/existeoutrocaminho?ref=ctrse_explore_featured,R$ 1.345,Restantes
Pluri ,84%,/pluri?ref=ctrse_explore_featured,R$ 1.270,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />3 dias</div>
Rayanne no ZóZimo Bulbul,59%,/rayanne_no_zozimo_bulbul?ref=ctrse_explore_featured,R$ 1.195,Restantes
Aquilo que acontece entre nascer e morrer,19%,/aquilo_que_acontece_entre_nascer_e_morrer?ref=ctrse_explore_featured,R$ 1.150,Restantes
ESPETÁCULOS DE PALHAÇO PARA O MÊS DAS CRIANÇAS,25%,/circoeuvira?ref=ctrse_explore_featured,R$ 880,Restantes
Lançamento EP "ETÉREO" - LoreB,20%,/lancamento_ep_etereo-loreb_?ref=ctrse_explore_featured,R$ 780,Restantes
Pirlimpimpim,12%,/pirlimpimpim?ref=ctrse_explore_featured,R$ 420,Restantes
Revolução bissexual em português!,24%,/bi?ref=ctrse_explore_featured,R$ 6.226,Restantes
FOGO FATO,12%,/fogofato?ref=ctrse_explore_featured,R$ 725,Restantes
MG - Construção 1912 - Laura,6%,/mg_construcao_1912_laura_64db?ref=ctrse_explore_featured,R$ 510,Restantes
DE VULGARI ELOQUENTIA DELUXE - PTBR,17%,/de_vulgari_eloquentia_deluxe?ref=ctrse_explore_featured,R$ 3.545,Restantes
Baha Hilo no Brasil,68%,/sociologo_palestino_baha_hilo_no_brasil?ref=ctrse_explore_featured,R$ 7.524,Restantes
BA - Construção 1912 - Beatriz Lins,68%,/ba_construcao_1912_beatriz_lins_8c7a?ref=ctrse_explore_featured,R$ 5.486,Restantes
Caroço de abacate,68%,/abacate?ref=ctrse_explore_featured,R$ 2.065,Restantes
Novo disco do projeto VALENTIN!,6%,/valentin?ref=ctrse_explore_featured,R$ 1.700,Restantes
Segunda-Feira Eu Paro,6%,/segundafeiraeuparo?ref=ctrse_explore_featured,R$ 1.015,Restantes
Jeremias e as Caraminholas - Teatro do Amanhã,16%,/jeremias_e_as_caraminholas_teatro_do_amanha_b539?ref=ctrse_explore_featured,R$ 814,Restantes
MG - Construção 1912 - Rafael ,9%,/mg_construcao_1912_rafael_3440?ref=ctrse_explore_featured,R$ 770,Restantes
DESÍGNIO,4%,/hqdesignio?ref=ctrse_explore_featured,R$ 550,Restantes
Celsinho Silva/Nas Ondas da Noite,29%,/celsinhosilvanasondasdanoite?ref=ctrse_explore_featured,R$ 10.940,Restantes
HarmoniHQ,46%,/harmonihq?ref=ctrse_explore_featured,R$ 6.325,Restantes
#PARTIU: MINAS RUMO A CONFERÊNCIA NACIONAL,8%,/financiamento-coletivo-mg-conferencia-nacional?ref=ctrse_explore_featured,R$ 2.550,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />4 dias</div>
Desinterdição da Embaixada,20%,/desinterdicao_da_embaixada_6c00?ref=ctrse_explore_featured,R$ 2.098,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />5 dias</div>
BA - Construção 1912 - Alex Oliva,17%,/ba_construcao_1912_alex_oliva_1f40?ref=ctrse_explore_featured,R$ 1.415,Restantes
Ajude a trazer o Opera Multi Steel ao Brasil!,3%,/opera_multi_steel_no_brasil_581f?ref=ctrse_explore_featured,R$ 995,Restantes
"Tresavento"  O novo disco de Marcelo Delacroix,37%,/marcelodelacroix?ref=ctrse_explore_featured,R$ 20.685,Restantes
Por um recreio melhor,66%,/porumrecreiomelhor?ref=ctrse_explore_featured,R$ 20.040,Restantes
Gotas que encharcam ,76%,/gotas_que_encharcam_8b8b?ref=ctrse_explore_featured,R$ 8.810,Restantes
Rancho do Corvo Dourado,32%,/rancho?ref=ctrse_explore_featured,R$ 8.215,Restantes
BA - Construção 1912 - Rômulo Rodovalho,71%,/ba_construcao_1912_romulo_rodovalho_dec8?ref=ctrse_explore_featured,R$ 5.700,Restantes
Minha câmera de volta - @victorcuri,25%,/recuperando_a_camera_do_victor_8c06?ref=ctrse_explore_featured,R$ 4.820,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />6 dias</div>
Solidão e Destino - O filme,6%,/SEDfilme?ref=ctrse_explore_featured,R$ 3.800,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />21 dias</div>
ÁRVORE - O LIVRO,28%,/livro_arvore?ref=ctrse_explore_featured,R$ 2.829,Restantes
Forasteiro da Liberdade - a experiência,24%,/forasteirodaliberdade?ref=ctrse_explore_featured,R$ 2.760,Restantes
MJADRA,28%,/mjadra?ref=ctrse_explore_featured,R$ 2.280,Restantes
Odisseia Naftalina,90%,/odisseianaftalina4?ref=ctrse_explore_featured,R$ 2.254,Restantes
Samhain,34%,/samhain_c8a2?ref=ctrse_explore_featured,R$ 1.747,Restantes
MG - Construção 1912 - Larissa,20%,/mg_construcao_1912_larissa_35d0?ref=ctrse_explore_featured,R$ 1.617,Restantes
AMÁLGAMA,57%,/amalgama?ref=ctrse_explore_featured,R$ 1.273,Restantes
Através dessas coisas,13%,/atraves_dessas_coisas_a6eb?ref=ctrse_explore_featured,R$ 1.110,Restantes
Never Die Club - Infinito,24%,/ndc2019?ref=ctrse_explore_featured,R$ 732,Restantes
SOMOS,1%,/LivroSOMOS_AdrianoBandini?ref=ctrse_explore_featured,R$ 320,Restantes
Os baobás do Pirulito de Veruza Guedes,2%,/veruzaguedes?ref=ctrse_explore_featured,R$ 160,Restantes
BA - Construção 1912 - Geise Azevedo,66%,/ba_construcao_1912_geise_azevedo_a839?ref=ctrse_explore_featured,R$ 5.305,Restantes
Alguma Coisa Diferente - Novo CD da Banda Estralo,11%,/alguma_coisa_diferente_novo_cd_da_banda_estralo_b4f4?ref=ctrse_explore_featured,R$ 4.615,Restantes
A Identidade Damatá,25%,/aidentidadedamata?ref=ctrse_explore_featured,R$ 3.880,Restantes
BA - Construção 1912 - Maria Lemos,47%,/ba_construcao_1912_maria_lemos_a41c?ref=ctrse_explore_featured,R$ 3.832,Restantes
Um Mar de Beijos,22%,/mardebeijos?ref=ctrse_explore_featured,R$ 3.830,Restantes
Etama,69%,/etama?ref=ctrse_explore_featured,R$ 3.470,Restantes
MEMÓRIAS DE UM MOTORISTA DE APLICATIVO (Livro),21%,/memorias_de_um_motorista_de_aplicativo_8093?ref=ctrse_explore_featured,R$ 3.180,Restantes
Coletânea Academia TransLiterária,46%,/coletanea_academia_transliteraria_6436?ref=ctrse_explore_featured,R$ 2.316,Restantes
Vlad,31%,/vladhq?ref=ctrse_explore_featured,R$ 1.885,Restantes
Vento Solar - Filme,10%,/ventosolar_filme?ref=ctrse_explore_featured,R$ 1.750,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />18 dias</div>
Tachyon,32%,/tachyon?ref=ctrse_explore_featured,R$ 1.410,Restantes
Vozes - Pré-venda,24%,/livrovozes?ref=ctrse_explore_featured,R$ 1.243,Restantes
CO-OGAM,5%,/co_ogam_a504?ref=ctrse_explore_featured,R$ 1.185,Restantes
Tierra Santa Bendecida por la Magia,0%,/tierra_santa_bendecida_por_la_magia_cdf4?ref=ctrse_explore_featured,R$ 1.050,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />15 dias</div>
Direito UFPR no Concurso de Júri Simulado da ESA,32%,/direito_ufpr_em_brasilia?ref=ctrse_explore_featured,R$ 975,Restantes
Minha Casa Quilombola/Quilombo dos Alpes,1%,/minha_casa_quilombola_quilombo_dos_alpes_poa_rs_6352?ref=ctrse_explore_featured,R$ 790,Restantes
Sr. e Sr. Phill,2%,/sr_e_sr_phill?ref=ctrse_explore_featured,R$ 470,Restantes
A Seita - Apoios Tardios,4500%,/aseita-apoiostardios?ref=ctrse_explore_featured,R$ 450,Restantes
Baralho - Lovecraft e Mitos de Cthulhu,14%,/cartaslovecraft?ref=ctrse_explore_featured,R$ 355,Restantes
Livro de fotografias do Farol da Barra,89%,/farol365?ref=ctrse_explore_featured,R$ 53.620,Restantes
Elema: Game de Peteleco + Comunidade,68%,/elema?ref=ctrse_explore_featured,R$ 13.710,Restantes
Abraço,91%,/abraco?ref=ctrse_explore_featured,R$ 9.120,Restantes
DONA GOTCHA E A GRANDE VIAGEM,33%,/dona_gotcha?ref=ctrse_explore_featured,R$ 5.365,Restantes
Leticia Coelho Brota,7%,/leticiacoelhobrota?ref=ctrse_explore_featured,R$ 5.002,Restantes
Sweet Witches,26%,/sweetwitches?ref=ctrse_explore_featured,R$ 4.251,Restantes
BA - Construção 1912 - Jéssica Garcia,46%,/ba_construcao_1912_jessica_garcia_76ba?ref=ctrse_explore_featured,R$ 3.715,Restantes
Alynna,47%,/alynna?ref=ctrse_explore_featured,R$ 3.097,Restantes
Contos de Tarot,36%,/contosdetarot?ref=ctrse_explore_featured,R$ 2.890,Restantes
Nico e Alf: Culpa,48%,/culpa?ref=ctrse_explore_featured,R$ 2.887,Restantes
Tattoo Renan Sampaio para a cura da Drika ,21%,/rifa_tattoo_1_para_a_cura_da_drika_543e?ref=ctrse_explore_featured,R$ 2.125,Restantes
TRAMBIK,35%,/trambik?ref=ctrse_explore_featured,R$ 1.580,Restantes
Coisas da Vida 2,26%,/coisas_da_vida_2?ref=ctrse_explore_featured,R$ 1.470,Restantes
FEITOSA na SELETIVA NACIONAL,74%,/feitosa_na_seletiva_nacional_73f5?ref=ctrse_explore_featured,R$ 1.415,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />7 dias</div>
MG - Construção 1912 - Jessica,17%,/mg_construcao_1912_jessica_51ab?ref=ctrse_explore_featured,R$ 1.370,Restantes
O Lago Aruá,90%,/olagoarua?ref=ctrse_explore_featured,R$ 1.175,Restantes
Livro Rua da Margem - Histórias de Porto Alegre,11%,/livro_ruadamargem?ref=ctrse_explore_featured,R$ 995,Restantes
Black Desert#2:"Cuidado com o que vem de baixo",13%,/blackdesert2?ref=ctrse_explore_featured,R$ 815,Restantes
Gaby Guimarães: o primeiro sonho,5%,/gabyguima?ref=ctrse_explore_featured,R$ 800,Restantes
Longa-Metragem: Sobre Viver,1%,/longasobreviver?ref=ctrse_explore_featured,R$ 700,Restantes
Nina Rosa canta Nei Lopes ,0%,/nina_rosa_canta_nei_lopes_f4fb?ref=ctrse_explore_featured,R$ 400,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />2 dias</div>
Cartes de Visite e Dádiva (Raphus Chartae),9%,/cartes_dadiva?ref=ctrse_explore_featured,R$ 280,Restantes
MG - Construção 1912 - Alice,1%,/mg_construcao_1912_alice_b6df?ref=ctrse_explore_featured,R$ 150,Restantes
De mãe para mãe,0%,/demaeparamae?ref=ctrse_explore_featured,R$ 100,Restantes
Natal das Mulheres da Luz,0%,/natal_mulheres_da_luz?ref=ctrse_explore_featured,R$ 80,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />17 horas</div>
Confissões Mortais,1%,/confissoesmortais?ref=ctrse_explore_featured,R$ 35,Restantes
Card Game Lendas & Batalhas,42%,/lendasebatalhas?ref=ctrse_explore_featured,R$ 9.745,Restantes
Viajando por histórias,105%,/viajando?ref=ctrse_explore_featured,R$ 7.155,Restantes
HQ São Francisco,69%,/saofranciscohq?ref=ctrse_explore_featured,R$ 6.591,Restantes
BA - Construção 1912 - Nathália Camello,81%,/ba_construcao_1912_nathalia_camello_c457?ref=ctrse_explore_featured,R$ 6.495,Restantes
PR - Construção 1910 - Bruno Machado,71%,/pr_construcao_1910_bruno_machado_b7e4?ref=ctrse_explore_featured,R$ 5.735,Restantes
Dois Meninos,2%,/doismeninos?ref=ctrse_explore_featured,R$ 5.410,Restantes
Mesmo que tudo dê errado	 vai dar tudo certo. ,1%,/mesmo_que_tudo_de_errado_vai_dar_tudo_certo_documentario_0340?ref=ctrse_explore_featured,R$ 4.696,<div class="fontsize-smallest lineheight-tight">Iniciado há<br />39 dias</div>
De Præstigiis Dæmonum,20%,/daemonum?ref=ctrse_explore_featured,R$ 4.280,Restantes
Receita de Gente,21%,/Receita?ref=ctrse_explore_featured,R$ 4.265,Restantes
Rua da Criança,24%,/rua_da_crianca?ref=ctrse_explore_featured,R$ 2.945,Restantes
