title,percentage,project_url,cash,time
Tormenta 20,2398%,/tormenta20?ref=ctrse_explore,R$ 1.918.486,09/07/2019
Jornada pela Democracia - Todos por Dilma,158%,/Dilma?ref=ctrse_explore,R$ 791.996,15/07/2016
Mola Structural Kit 2,200%,/mola2?ref=ctrse_explore,R$ 700.273,15/12/2016
Mola Structural Kit,1206%,/mola?ref=ctrse_explore,R$ 603.064,16/10/2014
Pathfinder 2ª Edição,817%,/Pathfinder2e?ref=ctrse_explore,R$ 531.673,15/08/2019
Rede Contra Fogo>>>Chapada dos Veadeiros,81%,/redecontrafogoveadeiros?ref=ctrse_explore,R$ 470.338,04/11/2017
Livro | 2001: Uma Odisseia no Espaço – 50 anos,122%,/2001?ref=ctrse_explore,R$ 460.567,14/11/2018
Deli&Co. + Roberta Sudbrack | Dutch Oven,474%,/dutch_oven?ref=ctrse_explore,R$ 427.016,02/10/2017
O Teatro Mágico - Turnê nacional do novo álbum,391%,/oteatromagico?ref=ctrse_explore,R$ 391.314,18/03/2016
Kabbalah Hermética,695%,/kabbalah?ref=ctrse_explore,R$ 347.658,13/06/2016
Reedição: Rino Levi - arquitetura e cidade,114%,/rinolevi?ref=ctrse_explore,R$ 297.715,27/06/2019
Um Brasil justo	 pra Todos e pra Lula,57%,/justopratodos?ref=ctrse_explore,R$ 285.346,24/12/2016
Livro "Um Sábado Qualquer",569%,/umsabadoqualquer?ref=ctrse_explore,R$ 284.891,05/08/2017
Dead Fish @ Disco Novo,430%,/deadfishoficial?ref=ctrse_explore,R$ 258.501,25/07/2014
A Lenda do Herói - O Jogo,206%,/alendadoheroi?ref=ctrse_explore,R$ 258.487,20/09/2014
Cafeteira Aram,723%,/cafeteiraaram?ref=ctrse_explore,R$ 253.300,17/11/2016
Masmorra De DADOS,1209%,/masmorra?ref=ctrse_explore,R$ 241.814,06/10/2014
Livro Prédios de São Paulo Vol. 3,255%,/prediosdesaopaulolivro3?ref=ctrse_explore,R$ 241.400,31/10/2017
Kimeron Miniaturas,1201%,/kimeronminiaturas?ref=ctrse_explore,R$ 240.232,06/02/2018
Chamado de Cthulhu,578%,/chamado_de_cthulhu?ref=ctrse_explore,R$ 231.555,02/02/2018
Reedição: Dicionário e Guia de Arquitetura,170%,/livrosdepeso?ref=ctrse_explore,R$ 204.592,27/06/2017
Deli&Co. | A frigideira de ferro repensada ,667%,/frigideira_delico?ref=ctrse_explore,R$ 200.358,19/02/2017
Livros Sagrados de Thelema,667%,/thelema?ref=ctrse_explore,R$ 200.238,22/03/2018
A Song of Ice & Fire - Jogo de Miniaturas,420%,/songoficeandfire?ref=ctrse_explore,R$ 189.121,11/06/2019
Forfun - DVD Ao Vivo no Circo Voador,116%,/forfun?ref=ctrse_explore,R$ 186.309,19/12/2012
RPGQuest,447%,/rpgquest?ref=ctrse_explore,R$ 179.130,11/05/2017
Shadowrun 5ª Edição RPG,346%,/shadowrun?ref=ctrse_explore,R$ 173.185,22/08/2017
Bhagavad-Gita Como Ele É,113%,/bhagavad_gita?ref=ctrse_explore,R$ 170.844,31/10/2017
PAUL SINGER - Uma história do Brasil,128%,/paulsinger?ref=ctrse_explore,R$ 167.434,13/07/2017
Livro "Mundo Avesso" do Um Sábado Qualquer,410%,/livro_mundo_avesso?ref=ctrse_explore,R$ 164.194,02/11/2018
O Menino e o Mundo no Oscar 2016,164%,/meninonooscar?ref=ctrse_explore,R$ 164.133,29/02/2016
Pesquisa Vox/247 - Segundo turno,134%,/pesquisa_vox_247_segundo_turno_773b?ref=ctrse_explore,R$ 161.305,28/10/2018
Os Quarenta Servidores,263%,/quarentaservidores?ref=ctrse_explore,R$ 158.074,09/12/2018
Livro Prédios de São Paulo Vol. 2,274%,/prediosdesaopaulo?ref=ctrse_explore,R$ 157.586,26/10/2016
