contributors,goal,pledged,type,where,title,percentage,cash,time,project_url
6353 pessoas,Meta R$ 80.000,R$ 1.918.486,Campanha Tudo-ou-nada , Porto Alegre	 RS,Tormenta 20,2398%,R$ 1.918.486,09/07/2019,/tormenta20?ref=ctrse_explore
11471 pessoas,Meta R$ 500.000,R$ 791.996,Campanha Flexível , São Paulo	 SP,Jornada pela Democracia - Todos por Dilma,158%,R$ 791.996,15/07/2016,/Dilma?ref=ctrse_explore
1082 pessoas,Meta R$ 350.000,R$ 700.273,Campanha Tudo-ou-nada , São Paulo	 SP,Mola Structural Kit 2,200%,R$ 700.273,15/12/2016,/mola2?ref=ctrse_explore
1524 pessoas,Meta R$ 50.000,R$ 603.064,Campanha Tudo-ou-nada , São Paulo	 SP,Mola Structural Kit,1206%,R$ 603.064,16/10/2014,/mola?ref=ctrse_explore
1674 pessoas,Meta R$ 65.000,R$ 531.673,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Pathfinder 2ª Edição,817%,R$ 531.673,15/08/2019,/Pathfinder2e?ref=ctrse_explore
5386 pessoas,Meta R$ 574.710,R$ 470.338,Campanha Flexível , Alto Paraíso de Goiás	 GO,Rede Contra Fogo>>>Chapada dos Veadeiros,81%,R$ 470.338,04/11/2017,/redecontrafogoveadeiros?ref=ctrse_explore
1465 pessoas,Meta R$ 374.780,R$ 460.567,Campanha Tudo-ou-nada , São Paulo	 SP,Livro | 2001: Uma Odisseia no Espaço – 50 anos,122%,R$ 460.567,14/11/2018,/2001?ref=ctrse_explore
1431 pessoas,Meta R$ 90.000,R$ 427.016,Campanha Flexível , Belo Horizonte	 MG,Deli&Co. + Roberta Sudbrack | Dutch Oven,474%,R$ 427.016,02/10/2017,/dutch_oven?ref=ctrse_explore
3594 pessoas,Meta R$ 100.000,R$ 391.314,Campanha Tudo-ou-nada , Osasco	 SP,O Teatro Mágico - Turnê nacional do novo álbum,391%,R$ 391.314,18/03/2016,/oteatromagico?ref=ctrse_explore
1086 pessoas,Meta R$ 50.000,R$ 347.658,Campanha Tudo-ou-nada , São Paulo	 SP,Kabbalah Hermética,695%,R$ 347.658,13/06/2016,/kabbalah?ref=ctrse_explore
587 pessoas,Meta R$ 260.000,R$ 297.715,Campanha Tudo-ou-nada , São Paulo	 SP,Reedição: Rino Levi - arquitetura e cidade,114%,R$ 297.715,27/06/2019,/rinolevi?ref=ctrse_explore
