title,percentage,cash,time
Tormenta 20,2398%,R$ 1.918.486,
Jornada pela Democracia - Todos por Dilma,158%,R$ 791.996,
Mola Structural Kit 2,200%,R$ 700.273,
Mola Structural Kit,1206%,R$ 603.064,
Pathfinder 2ª Edição,817%,R$ 531.673,
Rede Contra Fogo>>>Chapada dos Veadeiros,81%,R$ 470.338,
Livro | 2001: Uma Odisseia no Espaço – 50 anos,122%,R$ 460.567,
Deli&Co. + Roberta Sudbrack | Dutch Oven,474%,R$ 427.016,
O Teatro Mágico - Turnê nacional do novo álbum,391%,R$ 391.314,
Kabbalah Hermética,695%,R$ 347.658,
Reedição: Rino Levi - arquitetura e cidade,114%,R$ 297.715,
Um Brasil justo	 pra Todos e pra Lula,57%,R$ 285.346,
Livro "Um Sábado Qualquer",569%,R$ 284.891,
Dead Fish @ Disco Novo,430%,R$ 258.501,
A Lenda do Herói - O Jogo,206%,R$ 258.487,
Cafeteira Aram,723%,R$ 253.300,
Masmorra De DADOS,1209%,R$ 241.814,
Livro Prédios de São Paulo Vol. 3,255%,R$ 241.400,
Kimeron Miniaturas,1201%,R$ 240.232,
Chamado de Cthulhu,578%,R$ 231.555,
Reedição: Dicionário e Guia de Arquitetura,170%,R$ 204.592,
Deli&Co. | A frigideira de ferro repensada ,667%,R$ 200.358,
Livros Sagrados de Thelema,667%,R$ 200.238,
A Song of Ice & Fire - Jogo de Miniaturas,420%,R$ 189.121,
Forfun - DVD Ao Vivo no Circo Voador,116%,R$ 186.309,
RPGQuest,447%,R$ 179.130,
Shadowrun 5ª Edição RPG,346%,R$ 173.185,
Bhagavad-Gita Como Ele É,113%,R$ 170.844,
PAUL SINGER - Uma história do Brasil,128%,R$ 167.434,
Livro "Mundo Avesso" do Um Sábado Qualquer,410%,R$ 164.194,
O Menino e o Mundo no Oscar 2016,164%,R$ 164.133,
Pesquisa Vox/247 - Segundo turno,134%,R$ 161.305,
Os Quarenta Servidores,263%,R$ 158.074,
Livro Prédios de São Paulo Vol. 2,274%,R$ 157.586,
Contos dos Orixás - Pré-Venda,757%,R$ 151.412,
Miniaturas de RPG em PVC,749%,R$ 149.801,
Cartas de Kardec ,29%,R$ 148.949,
Episódio Piloto - As Aventuras de Léca e Seus Amigos,123%,R$ 148.141,
Projeto Dreaming Dogs – Ruling Pens,347%,R$ 146.874,
Refugiados de Belo Monte,113%,R$ 141.205,
Belo Monte - Anúncio de uma Guerra,122%,R$ 140.010,
WarpZone Essencial: Street Fighter,277%,R$ 138.508,
Catálogo da 12ª Bienal de Design Gráfico 2017,114%,R$ 137.710,
Contos de Fadas Nórdicos,514%,R$ 137.477,
Livres e Iguais!,109%,R$ 136.467,
Leoni - CD Notícias de Mim,112%,R$ 135.232,
Fundo Aliança Brumadinho,1332%,R$ 133.218,
Seja Jornalista Livre!,132%,R$ 132.730,
Ancient Terrible Things - Board Game,442%,R$ 132.716,
Chaguim Ledor Vador,101%,R$ 131.397,
Rega Santa Rosa,100%,R$ 131.170,
Oráculo Houhou,330%,R$ 130.601,
WarpZone Essencial Resident Evil,261%,R$ 130.541,
#Eu_Jean Wyllys,108%,R$ 130.335,
Somos do Mar Itinerante,128%,R$ 128.459,
Pesquisa Vox 247,127%,R$ 127.352,
99Vidas - O Jogo,159%,R$ 127.310,
CD Raimundos - Cantigas de Roda,224%,R$ 123.278,
Intercept Brasil nas eleições,135%,R$ 122.242,
Nos Passos do Mestre,298%,R$ 119.276,
RPGQuest - Dungeons,296%,R$ 118.775,
Falkenstein,579%,R$ 115.837,
DVD - Missionário Shalom,115%,R$ 115.655,
Chicos: The Book,137%,R$ 115.355,
Trajes Fatais,143%,R$ 114.444,
Calcinhas menstruais Herself,379%,R$ 113.934,
WarpZone Essencial: The King of Fighters,455%,R$ 113.801,
Casacadabra | livro de arquitetura para crianças,143%,R$ 112.983,
Documentário Me Farei Ouvir,128%,R$ 112.422,
Mouse Guard RPG,112246%,R$ 112.246,
KELY vai pra BERKLEE!,166%,R$ 112.243,
São Paulo Eixo Z,179%,R$ 111.497,
Meu Amigo Nico,113%,R$ 110.957,
Trabalho decente,101%,R$ 110.858,
Facas Deli&Co + K.Sabatier | Forjadas com história,109%,R$ 109.686,
Catálogo 10ª Bienal ADG,122%,R$ 107.746,
Shadow of the Demon Lord RPG,269%,R$ 107.713,
#FicaBrincante,107%,R$ 107.622,
7º Mar,268%,R$ 107.295,
Domínio Público,116%,R$ 106.181,
Enciclopédia de Mitologia,209%,R$ 104.779,
Liniker e os Caramelows lançam o álbum REMONTA,148%,R$ 104.012,
Apanhador Só - Turnê nacional "na sala de estar" + Gravação do próximo álbum,133%,R$ 103.898,
IV Encontro Nacional de Agroecologia - ENA,103%,R$ 103.859,
Lindo Sonho Delirante 2,204%,R$ 102.290,
Casacadabra 2: Cidades para Brincar,115%,R$ 100.630,
Starfinder,142%,R$ 99.665,
WarpZone Mega Drive Definitivo,331%,R$ 99.539,
Livro do SP Invisível ,171%,R$ 99.265,
Felicidade fechada,113%,R$ 99.063,
Cidade Cinza - O Filme,119%,R$ 98.778,
Jaguaretê: um livro em homenagem à Onça-Pintada,123%,R$ 98.623,
DCC RPG,281%,R$ 98.602,
Livro Arena Corinthians	 Tu És Orgulho,103%,R$ 98.594,
Ritos do Nascer ao Parir,107%,R$ 96.993,
Apoie o Le Monde Diplomatique Brasil,102%,R$ 96.909,
Ars Magica Quinta Edição,272%,R$ 95.528,
DHARMA. Fotos da Índia e do Nepal.,112%,R$ 95.270,
Grasse - Mestres Perfumistas,431%,R$ 94.963,
Arquitetura em Retrospectiva,113%,R$ 94.935,
CryptoRave 2019 - 3 e 4 de maio,135%,R$ 94.703,
Livro "Viajo logo Existo 1 ano na Ásia & Oceania",222%,R$ 93.531,
Pequenas Igrejas	 Grandes Negócios,317%,R$ 92.125,
Natal Invisível 2018 - O Amor Ilumina,115%,R$ 91.818,
Carol Biazin | Meu Projeto Autoral,181%,R$ 90.705,
Além da Cura,104%,R$ 90.162,
Festival Internacional de Artes de Tiradentes: Artes Vertentes,101%,R$ 90.020,
LENDAS | Chiaroscuro Studios Yearbook 2018,355%,R$ 88.851,
Ajude Rafael a estudar em Harvard,175%,R$ 88.388,
Novas salas para a Miguel Arcanjo,58%,R$ 88.170,
Natal Invisível 2017 - Natal Para Todos,114%,R$ 86.594,
Casa do Povo | Monumento Vivo ,115%,R$ 86.412,
Livro: América do Sul Sobre Rodas,128%,R$ 86.146,
Guarani Kaiowá - Financiamento Coletivo,107%,R$ 85.910,
Casa Jardim Secreto,121%,R$ 85.390,
Flor do Moinho,170%,R$ 85.165,
Reportagem Pública 2017,105%,R$ 84.483,
#ReturnMaosAObra,106%,R$ 84.345,
Lindo Sonho Delirante	 o livro,187%,R$ 84.261,
São Paulo e Suas Casas ,131%,R$ 84.075,
Olympia,111%,R$ 83.080,
#365nus | Livro e Exposição,82%,R$ 82.446,
CryptoRave 2018,115%,R$ 80.979,
Jornal Rascunho,101%,R$ 80.949,
SOS cannabis medicinal,133%,R$ 80.767,
Ampliando a Vila Verde,35%,R$ 80.519,
Operação Serenata de Amor,131%,R$ 80.424,
Livro Graziela Pinto,105%,R$ 79.160,
PISEAGRAMA espaço público periódico,112%,R$ 79.055,
Chiaroscuro Studios Yearbook 2016,394%,R$ 78.911,
Nei Lisboa – A Vida Inteira,122%,R$ 78.525,
Tsukiji Board Game,390%,R$ 78.138,
Livro DayTrippers - 1300 dias pelo mundo,172%,R$ 77.590,
Filhos da Floresta | Bambi e Pocahontas,115%,R$ 77.363,
desalinho,134%,R$ 76.925,
Última Fortaleza: Um jogo em que você é o monstro!,174%,R$ 76.809,
Numenera,191%,R$ 76.426,
Festival Artes Vertentes,116%,R$ 76.310,
Motta Porn Zine,253%,R$ 76.065,
The Sky is Falling 2 - The Revenge of Foxy Roxy,101%,R$ 75.965,
Toda Coração,101%,R$ 75.806,
Selene The Fantasy ,216%,R$ 75.774,
Tour PodCycle - Veículo Elétrico Inteligente,110%,R$ 74.957,
Fortaleça a Ponte Jornalismo,57%,R$ 74.689,
Tormenta: O Desafio dos Deuses,124%,R$ 74.515,
Fofuuu,105%,R$ 73.860,
Tempo | Coworking no Litoral Norte,113%,R$ 73.525,
